Decoded CTC model's output,	LLM Predicted Label,	Original True Label,	Are they the same
Epoch: 1
Epoch: 2
Epoch: 3
Epoch: 4
Epoch: 5
Epoch: 6
ne,	nine,	nine,	True
seve,	seven,	five,	False
seve,	seven,	seven,	True
five,	five,	five,	True
stw,	two,	two,	True
ero,	zero,	zero,	True
three,	three,	three,	True
six,	six,	six,	True
one,	one,	one,	True
itw,	two,	two,	True
one,	one,	one,	True
one,	one,	one,	True
eighe,	eight,	eight,	True
ige,	nine,	eight,	False
sie,	six,	six,	True
fou,	four,	four,	True
sixe,	six,	six,	True
eig,	eight,	eight,	True
fou,	four,	four,	True
five,	five,	five,	True
sive,	five,	seven,	False
thr,	three,	three,	True
fiv,	five,	five,	True
five,	five,	five,	True
sw,	two,	zero,	False
twe,	two,	two,	True
wen,	one,	two,	False
three,	three,	three,	True
r,	four,	three,	False
s,	six,	six,	True
sevx,	seven,	six,	False
one,	one,	one,	True
sve,	five,	seven,	False
twe,	two,	two,	True
sivne,	five,	seven,	False
tw,	two,	two,	True
one,	one,	one,	True
,	seven,	eight,	False
eight,	eight,	eight,	True
the,	four,	three,	False
four,	four,	four,	True
one,	one,	one,	True
fo,	four,	four,	True
o,	four,	four,	True
,	five,	zero,	False
tw,	two,	two,	True
eige,	eight,	eight,	True
twe,	two,	seven,	False
ite,	eight,	three,	False
sixe,	six,	six,	True
five,	five,	five,	True
ourn,	four,	one,	False
five,	five,	five,	True
one,	one,	one,	True
th,	three,	three,	True
six,	six,	six,	True
one,	one,	one,	True
eig,	eight,	eight,	True
eigt,	eight,	eight,	True
foure,	four,	four,	True
sioe,	six,	zero,	False
tw,	two,	two,	True
seve,	seven,	seven,	True
ze,	zero,	zero,	True
eig,	eight,	eight,	True
nin,	nine,	nine,	True
five,	five,	five,	True
o,	four,	one,	False
i,	nine,	nine,	True
ni,	nine,	nine,	True
un,	one,	four,	False
fivoue,	five,	four,	False
swe,	three,	two,	False
oe,	one,	one,	True
twhre,	three,	three,	True
sixe,	six,	six,	True
,	four,	zero,	False
thr,	three,	three,	True
sixe,	six,	six,	True
,	four,	eight,	False
ive,	five,	five,	True
zeroe,	zero,	zero,	True
eighe,	eight,	eight,	True
eie,	nine,	eight,	False
tw,	two,	two,	True
six,	six,	six,	True
twhren,	three,	three,	True
three,	three,	three,	True
eone,	one,	one,	True
e,	three,	zero,	False
one,	one,	one,	True
four,	four,	four,	True
siei,	six,	seven,	False
eige,	eight,	eight,	True
eigh,	eight,	eight,	True
sixe,	six,	six,	True
one,	one,	one,	True
eig,	eight,	eight,	True
sixe,	six,	six,	True
ti,	two,	two,	True
one,	one,	one,	True
f,	four,	four,	True
foure,	four,	four,	True
ninei,	nine,	nine,	True
twe,	two,	two,	True
sivxe,	six,	six,	True
sixe,	six,	six,	True
fiv,	five,	five,	True
sieve,	five,	seven,	False
fioure,	four,	four,	True
roe,	four,	zero,	False
sie,	six,	six,	True
zro,	zero,	zero,	True
sixs,	six,	six,	True
tw,	two,	two,	True
nine,	nine,	nine,	True
fur,	four,	four,	True
five,	five,	five,	True
tvre,	three,	three,	True
fiour,	four,	four,	True
tev,	five,	three,	False
in,	one,	nine,	False
sxe,	six,	six,	True
o,	four,	zero,	False
tiro,	three,	zero,	False
eih,	five,	eight,	False
niv,	nine,	one,	False
si,	six,	seven,	False
tw,	two,	two,	True
zeroe,	zero,	zero,	True
tiro,	three,	zero,	False
zereroe,	zero,	zero,	True
zo,	two,	zero,	False
xti,	six,	six,	True
five,	five,	five,	True
fo,	four,	four,	True
two,	two,	two,	True
sivei,	five,	seven,	False
t,	two,	two,	True
n,	nine,	one,	False
sixe,	six,	six,	True
four,	four,	four,	True
fin,	five,	five,	True
nine,	nine,	nine,	True
eigh,	eight,	eight,	True
tre,	three,	three,	True
eie,	nine,	seven,	False
siv,	five,	seven,	False
nini,	nine,	nine,	True
oue,	nine,	one,	False
sirx,	six,	six,	True
fur,	four,	four,	True
six,	six,	six,	True
fine,	nine,	five,	False
fne,	nine,	five,	False
siv,	five,	seven,	False
one,	one,	one,	True
nei,	nine,	nine,	True
twi,	two,	two,	True
one,	one,	one,	True
sen,	seven,	seven,	True
sivxsiv,	six,	six,	True
five,	five,	five,	True
n,	nine,	nine,	True
n,	nine,	three,	False
two,	two,	two,	True
hw,	two,	three,	False
i,	nine,	six,	False
zro,	zero,	zero,	True
on,	one,	one,	True
zer,	zero,	zero,	True
twhre,	three,	three,	True
fi,	five,	five,	True
tw,	two,	two,	True
six,	six,	six,	True
eig,	eight,	eight,	True
seie,	six,	seven,	False
six,	six,	six,	True
thr,	three,	three,	True
fourn,	four,	four,	True
four,	four,	four,	True
ei,	five,	eight,	False
fn,	five,	five,	True
sixe,	six,	six,	True
the,	three,	two,	False
foue,	four,	four,	True
five,	five,	five,	True
five,	five,	five,	True
fi,	five,	five,	True
ig,	eight,	eight,	True
igh,	nine,	eight,	False
fiv,	five,	nine,	False
