Decoded CTC model's output,	LLM Predicted Label,	Original True Label,	Are they the same
ne,	nine,	nine,	True
siv,	five,	five,	True
seve,	seven,	seven,	True
fiv,	five,	five,	True
stw,	two,	two,	True
sro,	three,	zero,	False
thret,	three,	thre,	False
six,	six,	six,	True
one,	one,	one,	True
tw,	two,	two,	True
one,	one,	one,	True
one,	one,	one,	True
eighte,	eight,	eight,	True
ig,	nine,	eight,	False
sie,	six,	six,	True
four,	Four,	four,	False
sixe,	six,	six,	True
eig,	eight,	eight,	True
fou,	four,	four,	True
fiv,	five,	five,	True
sve,	five,	seven,	False
thre,	three,	thre,	False
fiv,	five,	five,	True
fiv,	five,	five,	True
tw,	two,	zero,	False
twoe,	two,	two,	True
en,	one,	two,	False
thre,	three,	thre,	False
re,	three,	thre,	False
sx,	six,	six,	True
sonxe,	six,	six,	True
one,	one,	one,	True
one,	one,	one,	True
fine,	nine,	one,	False
sevix,	seven,	seven,	True
in,	one,	nine,	False
six,	six,	six,	True
eo,	zero,	zero,	True
for,	four,	four,	True
on,	one,	one,	True
hrev,	three,	thre,	False
tw,	two,	two,	True
o,	four,	one,	False
fvet,	five,	five,	True
on,	one,	one,	True
fiv,	five,	five,	True
two,	two,	two,	True
nine,	nine,	nine,	True
siv,	five,	seven,	False
eiro,	zero,	zero,	True
ro,	four,	zero,	False
niv,	five,	nine,	False
sig,	six,	six,	True
eigtn,	eight,	eight,	True
in,	eight,	nine,	False
ohre,	four,	thre,	False
on,	one,	one,	True
six,	six,	six,	True
ner,	three,	zero,	False
iv,	Four,	five,	False
eroe,	zero,	zero,	True
four,	four,	four,	True
twin,	two,	two,	True
ix,	six,	six,	True
zfi,	five,	four,	False
eig,	eight,	eight,	True
sie,	six,	six,	True
ni,	nine,	nine,	True
one,	one,	one,	True
one,	one,	one,	True
igige,	nine,	eight,	False
ie,	three,	nine,	False
fourn,	four,	four,	True
i,	one,	one,	True
we,	three,	zero,	False
i,	Nine,	eight,	False
four,	four,	four,	True
ero,	zero,	zero,	True
eight,	eight,	eight,	True
eigh,	eight,	eight,	True
si,	six,	zero,	False
ig,	eight,	eight,	True
ern,	Three,	zero,	False
si,	six,	six,	True
ie,	nine,	five,	False
si,	six,	seven,	False
o,	zero,	four,	False
ro,	four,	zero,	False
iv,	four,	five,	False
t,	two,	two,	True
zsevin,	seven,	seven,	True
in,	one,	five,	False
five,	five,	five,	True
one,	one,	one,	True
o,	five,	four,	False
onein,	one,	one,	True
eigt,	eight,	eight,	True
sixe,	six,	six,	True
ti,	two,	two,	True
one,	One,	one,	False
fo,	four,	four,	True
fiou,	four,	four,	True
in,	five,	nine,	False
tw,	two,	two,	True
sivx,	six,	six,	True
six,	six,	six,	True
fiv,	five,	five,	True
siev,	five,	seven,	False
fi,	five,	four,	False
ro,	four,	zero,	False
sie,	six,	six,	True
o,	zero,	zero,	True
six,	six,	six,	True
two,	two,	two,	True
ine,	nine,	nine,	True
fu,	four,	four,	True
fiv,	five,	five,	True
tire,	four,	thre,	False
fiur,	four,	four,	True
eor,	four,	thre,	False
i,	nine,	nine,	True
sxe,	six,	six,	True
o,	four,	zero,	False
sio,	six,	zero,	False
eigt,	eight,	eight,	True
iv,	four,	one,	False
i,	One,	seven,	False
tw,	two,	two,	True
fur,	four,	four,	True
w,	two,	two,	True
hre,	three,	thre,	False
fou,	four,	four,	True
zninet,	nine,	nine,	True
eigh,	eight,	eight,	True
two,	two,	two,	True
six,	six,	six,	True
ig,	nine,	eight,	False
siven,	seven,	seven,	True
i,	nine,	nine,	True
zsev,	seven,	seven,	True
,	three,	thre,	False
eight,	eight,	eight,	True
two,	two,	two,	True
fun,	One,	four,	False
to,	two,	two,	True
thre,	three,	thre,	False
ig,	five,	eight,	False
o,	four,	one,	False
znine,	nine,	nine,	True
sie,	six,	six,	True
ig,	eight,	eight,	True
o,	four,	zero,	False
eig,	eight,	eight,	True
s,	five,	seven,	False
r,	four,	zero,	False
fi,	five,	five,	True
eight,	eight,	eight,	True
tw,	two,	two,	True
thre,	three,	thre,	False
fiv,	five,	five,	True
fi,	five,	five,	True
zro,	zero,	zero,	True
four,	four,	four,	True
eigh,	eight,	eight,	True
ero,	zero,	zero,	True
thr,	three,	thre,	False
i,	nine,	nine,	True
fi,	five,	seven,	False
nine,	nine,	nine,	True
,	two,	one,	False
on,	one,	one,	True
nin,	nine,	nine,	True
zevn,	seven,	seven,	True
sivx,	six,	six,	True
thr,	three,	thre,	False
six,	six,	six,	True
er,	four,	six,	False
fiv,	five,	five,	True
,	seven,	eight,	False
ro,	two,	zero,	False
eigs,	eight,	eight,	True
o,	zero,	one,	False
fiv,	five,	five,	True
wn,	one,	two,	False
siv,	five,	seven,	False
on,	one,	one,	True
se,	Three,	seven,	False
n,	nine,	four,	False
e,	Three,	zero,	False
tw,	two,	two,	True
ou,	four,	four,	True
six,	six,	six,	True
e,	three,	nine,	False
six,	six,	six,	True
two,	two,	two,	True
ero,	zero,	zero,	True
fie,	five,	five,	True
fiv,	five,	five,	True
ev,	seven,	seven,	True
e,	three,	zero,	False
siv,	five,	seven,	False
ut,	four,	four,	True
eight,	eight,	eight,	True
hre,	three,	thre,	False
on,	one,	one,	True
eight,	eight,	eight,	True
,	three,	thre,	False
re,	three,	zero,	False
u,	four,	zero,	False
on,	one,	one,	True
e,	three,	one,	False
se,	Three,	seven,	False
fe,	five,	five,	True
r,	Four,	zero,	False
e,	three,	zero,	False
one,	one,	one,	True
onen,	one,	one,	True
one,	one,	one,	True
thr,	three,	thre,	False
er,	three,	zero,	False
u,	four,	one,	False
thi,	three,	thre,	False
si,	Six,	seven,	False
si,	six,	seven,	False
to,	two,	two,	True
iht,	eight,	eight,	True
six,	six,	six,	True
fev,	five,	five,	True
ei,	five,	eight,	False
f,	four,	four,	True
six,	six,	six,	True
thre,	three,	thre,	False
tn,	ten,	thre,	False
fur,	four,	four,	True
fvur,	four,	four,	True
ero,	zero,	zero,	True
tw,	two,	two,	True
fur,	four,	four,	True
erive,	five,	five,	True
eih,	five,	eight,	False
five,	five,	five,	True
twg,	two,	two,	True
thre,	three,	thre,	False
the,	three,	thre,	False
,	three,	eight,	False
nin,	nine,	nine,	True
sev,	seven,	seven,	True
